team_id,full_name,abbreviation,nickname,city,state,year_founded,year_active_till
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946.0,2019
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976.0,2019
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946.0,2019
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970.0,2019
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948.0,2019
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988.0,2019
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0,2019
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0,2019
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995.0,2019
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974.0,2019
